city_name,w,lambda,mean_total_time,std_total_time,mean_similarity_time,std_similarity_time
Malibu_CA,25,8.0,0.1283,0.0001,0.0001,0.0
Malibu_CA,25,16.0,0.1275,0.0002,0.0001,0.0
Malibu_CA,25,32.0,0.1343,0.0001,0.0002,0.0
Malibu_CA,25,64.0,0.1276,0.0004,0.0004,0.0
Malibu_CA,25,inf,0.072,0.0,0.0719,0.0
Malibu_CA,50,8.0,0.1327,0.0002,0.0001,0.0
Malibu_CA,50,16.0,0.1304,0.0001,0.0001,0.0
Malibu_CA,50,32.0,0.1296,0.001,0.0002,0.0
Malibu_CA,50,64.0,0.1282,0.0006,0.0003,0.0
Malibu_CA,50,inf,0.07,0.0001,0.0699,0.0001
Kennesaw_GA,25,8.0,0.0115,0.0002,0.0001,0.0
Kennesaw_GA,25,16.0,0.0114,0.0,0.0001,0.0
Kennesaw_GA,25,32.0,0.0116,0.0,0.0002,0.0
Kennesaw_GA,25,64.0,0.012,0.0,0.0003,0.0
Kennesaw_GA,25,inf,0.0086,0.0,0.0085,0.0
Kennesaw_GA,50,8.0,0.0115,0.0,0.0001,0.0
Kennesaw_GA,50,16.0,0.0111,0.0001,0.0001,0.0
Kennesaw_GA,50,32.0,0.0112,0.0,0.0002,0.0
Kennesaw_GA,50,64.0,0.0114,0.0,0.0003,0.0
Kennesaw_GA,50,inf,0.0082,0.0,0.0082,0.0
Austin_TX,25,8.0,0.2526,0.0002,0.0001,0.0
Austin_TX,25,16.0,0.24,0.0003,0.0001,0.0
Austin_TX,25,32.0,0.241,0.0007,0.0002,0.0
Austin_TX,25,64.0,0.248,0.0021,0.0003,0.0
Austin_TX,25,inf,0.1309,0.0001,0.1308,0.0001
Austin_TX,50,8.0,0.2577,0.0038,0.0001,0.0
Austin_TX,50,16.0,0.2485,0.0004,0.0001,0.0
Austin_TX,50,32.0,0.2554,0.0058,0.0002,0.0
Austin_TX,50,64.0,0.2582,0.0006,0.0003,0.0
Austin_TX,50,inf,0.1357,0.0003,0.1357,0.0003
Sedona_AZ,25,8.0,0.041,0.0001,0.0001,0.0
Sedona_AZ,25,16.0,0.0404,0.0006,0.0001,0.0
Sedona_AZ,25,32.0,0.0401,0.0002,0.0002,0.0
Sedona_AZ,25,64.0,0.0396,0.001,0.0003,0.0
Sedona_AZ,25,inf,0.0208,0.0001,0.0207,0.0001
Sedona_AZ,50,8.0,0.0403,0.0002,0.0001,0.0
Sedona_AZ,50,16.0,0.0393,0.0008,0.0001,0.0
Sedona_AZ,50,32.0,0.0403,0.0003,0.0002,0.0
Sedona_AZ,50,64.0,0.0411,0.0003,0.0003,0.0
